mandarin,japanese
請幫我。,そうなの？
請加入我們。,よくあることだよ。
請告訴我。,寒っ！
请清洗它。,空っぽだ。
物價上漲。,変なの！
看这本书。,俺のＣＤじゃねえか。
說清楚。,それは私のCDです。
科學好玩。,僕のおごりですよ。
再见！,私のおごりだ。
她愚弄了他。,妙だな。
她種了玫瑰。,気色悪いー！
她在节食。,風が強いな。
她也許會來。,いいからやれよ。
她看來有錢。,とにかく落ち着いて。
烟雾出现了。,そのまま続けて。
有人打電話來。,その調子で続けて。
停止发牢骚吧。,その調子でがんばって。
停止抵抗！,静かにしていなさい。
夏天过去了。,静かにしていなさい。
你可以慢慢来。,じっとしてて。
慢慢来。,寄りかかっていいよ。
那是一個恥辱。,当てにしていいよ。
那符合逻辑。,トムを入れてあげて。
那是我的大衣。,中に入れてあげて。
那是完美的。,お入り頂きなさい。
多遗憾啊！,中に入ってもらって。
那太糟糕了。,死なせてくれ。
鳥兒歌唱。,出してくれ。
旗子升起了。,出してくれ。
電話正在響。,払わせてください。
他們目光相接。,私が払いましょう。
這些是筆。,見せて。
他們恨湯姆。,どれどれ。
他們有工作。,私にやらせて。
他們讓我走。,お祈りしましょう。
他们喜欢那个,さあ歌おう。
他们信任汤姆。,さあ泳ごう。
他們想要更多。,気楽にいけよ。
他們想要這個。,これ見て。
他们不错。,私を見なさい。
这是一本书。,私を見て。
那是我的包。,心配するな。
湯姆能改變。,気にするな。
汤姆不会游泳。,何でもない。
湯姆有個計畫。,問題ないよ。
汤姆是个拉比。,大丈夫ですよ。
汤姆不傻。,問題ないよ。
湯姆看起來很蒼白。,大丈夫ですよ。
汤姆喜欢狗。,了解。
湯姆走了出去。,問題なし。
汤姆当时在哭。,もう一回。
汤姆无所畏惧。,座りなよ。
汤姆在笑。,お静かに。
汤姆兴奋不已。,はい、チーズ。
开电视。,「お願い」って言えよ。
把电视声音调大点儿。,やって欲しいなら、頼めよ。
汤姆睡着了吗？,彼女はにっこり笑った。
洗您的脚。,彼女は微笑みました。
洗你的脚。,さあ、みんなで歌いましょう。
自己当心啊。,下がってろ！
我們原諒你。,眠っちゃダメ。
我們誰也不認識。,黙ってて。
我们学习音乐。,じっとしてて。
我們被偷了。,そこにいて。
我们要继续下去。,ちょっとどいて。
我們是個家庭。,しっかり勉強して下さい。
我们没迟到。,バスに乗りなさい。
好吧，我們走吧。,話してよ！
你是对的吗？,話せよ！
你們呢？,痛いです。
您呢？,痛い。
你的職業是什麼?,それは新しいです。
她做什么工作？,彼らは挑戦した。
我们去哪儿？,さあ、着きましたよ。
之前你在哪里？,これで最後だ。
那家伙是谁？,以上です。
那男人是谁？,これで決まりだ。
你問這個幹什麼?,これだよ。
为什么他在这儿？,これなんです。
擦擦你的眼睛。,これは効くわ。
是的，我知道。,これでもいいや。
是的，當然。,時のたつのは早いものだ。
你看起來很無聊。,時間終了。
你看起来很紧张。,はい、そこまで。
你看起來很疲倦。,トムは賛成した。
你必須去做。,トムは賛成する。
你會愛它。,トムはそれを食べた。
你開玩笑吧！,トムは踊った。
您不必感谢我。,トムはお酒を飲む。
你們是朋友嗎？,トムは車を運転します。
你在开玩笑吗？,トムは失敗した。
你有18歲了嗎？,トムは忘れた。
你是认真的吗？,トムは喧嘩した。
你渴吗？,トムは闘った。
为我感到高兴吧。,トムは手伝った。
规矩点。,トムは狂ってる。
黑色很衬你。,トムは新人だ。
烧一点水。,トムがいません。
叫警察！,トムは濡れてる。
报警！,トムはジャンプした。
报警！,トムは見た。
你能找到它嗎？,トムは頷いた。
你能幫我嗎？,トムは電話をかけた。
您能帮我吗？,トムはため息をついた。
清掃你的房間。,トムは微笑んだ。
打扫一下你的房间。,トムはタバコを吸う。
闭上你的眼睛。,トムは話した。
闭上你们的眼睛。,トムは待っていた。
如果你能就來吧。,トムはウィンクした。
祝贺你。,トムはあくびした。
恭喜！,トムは大声で叫んだ。
你能做到嗎？,トムは死んだ。
数到三十。,やってみて。
汤姆说是谁了吗？,右に曲がって。
你以前喜欢吗？,ちょっと待って。
你想我了？,私たちは男です。
您经常去吗？,歩いていくよ。
你有嗎？,私たちは男です。
你认识他吗?,八方塞がりだ。
你喜欢说唱音乐吗？,何ですか。
你记得吗？,それは何ですか。
愛存在嗎？,変わりはないかい。
別被騙了。,僕はどこにいるの？
别来烦我。,ここどこ？
別忘了我。,ここはどこ？
别忘了我们。,トムって誰？
别打开那个。,彼女は誰ですか。
不要冒险。,次は誰？
别说谎!,あれ誰？
你不同意吗？,木は燃えます。
您不同意吗？,行ってもよろしい。
开车小心点。,あなたが決めて。
離開這裡。,やったね！
幫湯姆一把。,行ってもよい。
把它给他们。,行ってもよろしい。
去露台。,今にわかる。
綠色適合你。,まあ見てなよ。
祝你一天过得愉快。,悪い子ね！
他行动迅速。,おまえ、ワルだな。
他开始哭了。,いけない人！
他是教师。,万事上手くいってます。
他是老师。,万事よろしい。
他是我父親。,ああ、お腹が空いた。
他非常親切。,誰かケガした？
他很高。,誰か怪我した？
他刚到。,怒ってるの?
他喜欢迪士尼。,悲しいですか。
他看起來很強壯。,悲しいの？
他喜歡火車。,誰にでもいいから訊いてみてください。
他向我施压。,遅れるなよ。
他努力學習。,トムと呼んで。
他企图说谎。,始めていい？
他很容易觉得累。,入っておいでよ。
他很老。,トムと連絡を取りなさい。
他會倖存。,僕に料理を作って。
他是喜剧演员。,私も仲間に入れて。
他是個好人。,任せて。
他是個好人。,トムは死んだ？
他是个好人。,トムは試したの？
他是個好人。,トムは勝った？
他是一个高大的男孩。,勝った？
他不是英雄。,言うとおりにして。
他不是傻子。,もう一度おやり。
他非常生气。,もう一度やって。
这是账单。,後でやって。
这是你的茶。,ちゃんとやって。
嗨！你好嗎？,それが問題？
他的话就是命令。,釣りはしますか？
你感觉如何？,ズルをするなよ。
我怎麼知道？,撃たないで！
多么有趣啊！,撃たないで！
大家好嗎？,怒鳴るなよ。
你們好嗎？,怒鳴らないで。
你幾歲?,心配するな。
你真粗魯！,心配しなくていいよ。
可憐!,気にすんなって。
這個蘋果怎麼樣？,心配しないでください。
我全身酸痛。,トムを許してやれよ。
我是一个好男孩。,トムを許してあげたら？
我是从中国来的。,服を着替えなさい。
我来自中国。,着替えて。
我有麻煩了。,こっちに入って！
我遇到困難了。,冗談はやめて。
我吃了這個蘋果。,仕事にかかれ！
我烤了曲奇。,トムを探してきて。
我開始跑。,トムを手伝ってきて。
我訂了一個位子。,まっすぐ行け。
我買了一本書。,眠りなさい。
我打電話給湯姆了。,もう寝なさい。
我叫她起来。,座りなよ。
我游泳可以游得很好。,彼は来る事が出来る。
我看不見你。,彼なら来られる。
我不能取消它。,彼は来れる。
我不要.,彼は泳げる。
我感觉轻松了。,彼は年老いた。
我六點起床。,彼は年を取った。
那时我没有选择的余地。,彼は腹が据わっている。
我讨厌学习。,彼は一人っきりである。
我有兄弟。,彼は８歳だ。
我有十支筆。,彼は幸せだ。
我要赶紧了!,彼はひどく嫌われている。
我有两只猫。,彼はうそをついている。
我有兩個兒子。,彼は嘘を言っている。
我剛才吐了。,あいつは嫌な奴だ。
我借给他一盘CD。,彼は立ち上がりました。
我也喜歡湯姆。,彼は忙しかった。
我喜歡茄子。,彼はうそつきだ。
我喜歡足球。,彼は眠っている。
我喜歡土豆。,彼は外出しています。
我喜歡寒冷。,彼は強い。
我喜欢这只狗。,彼はばかだ。
我喜欢您的车。,すぐ参ります。
我住在羅馬。,いま、行きます。
我丢了我的钱。,さあ着いたぞ。
我愛這台車。,はい、着きました。
我可能会说是。,着きましたよ。
我必須幫助她。,元気ですか。
我需要个朋友。,元気？
我需要一名律師。,ご機嫌いかが？
我需要證據。,変だなあ。
我需要我的靴子。,私も行った。
我需要你在這裡。,私は双子です。
我只想要一件东西。,いま行くよ。
我买了单。,いま、行きます。
我打網球了。,私の方が背が高い。
我每天跑步。,お詫びします。
我说瑞典语。,御免なさい。
我和汤姆说了话。,すみません。
我跟她谈了话。,何とも言えない。
我教中文。,勝てない。
我想沒關係。,寒気がする。
我洗了澡。,寒いなあ。
我想要一把吉他。,僕はいい気分だ。
我想要那個袋子。,気分爽快だよ。
我想開車。,気分が悪い。
我吃惊了。,もう飽きたわ。
我希望你去。,私は疲れた。
我起得早。,犬は大嫌い。
我工作得太多了。,私は時間がある。
我会带酒来。,私は青色が好きです。
我絕不會停。,青が好きだ。
我是个侦探。,私はどちらも好きです。
我是一個外國人。,私はケーキが好きだ。
我是個夜貓子。,私は犬が好きです。
我快好了。,僕はジャズが好きだ。
我总是有事。,私はジャズが好きです。
我一直在這裡。,私はロックが好きです。
我在做白日梦。,私は雪が好きです。
我覺得精神很好。,私はこれが好きです。
我在变老。,私はここに住んでいます。
我是左撇子。,私は面目を失った。
我不嫉妒。,私は、面目丸潰れだ。
我不是认真的。,私は数学が大好きです。
我没时间了。,私はロックが好きです。
我挺忙。,僕はこれを作った。
我相当高。,失敗した。
我真的好忙。,助けてください。
我真的冷。,寝過ごしちゃった。
我还饿着呢。,私はＵＦＯを見ました。
我很餓。,犬を見かけました。
我很寂寞。,犬を見たんだ。
我已經受夠了。,ガスの臭いがする。
我已經吃飽了。,降参します。
Tom是加拿大人嗎?,私は彼を信用しています。
他在呼吸嗎?,任せるよ。
全都在那裡嗎？,信じているよ。
还有多余的盐吗？,私はメアリーが欲しいです。
她是日本人嗎？,もっと欲しい。
這是一條河嗎?,これが欲しい。
那是我的吗？,仕事クビになった。
由你來決定。,私は疲れた。
下了很多的雪。,私は疲れていた。
真糟糕。,私が間違っていました。
它很遠。,私が間違ってました。
天要变多云了。,私も行った。
这是个死胡同。,お手伝いしますよ。
那本書是一本新書。,泣くもんか。
今天天氣很好。,死ぬもんか。
这是一个惊喜。,嘘などつくもんか。
快要六點了。,出席します。
已经是11点了。,僕は中に入ろう。
今天天气很好。,私が出ます。
這是不可能的。,私はパン屋です。
午餐時間到了。,私は看護師です。
你可以走了。,私は女だ。
在那里。,私は女性です。
該走了。,僕は家にいるよ。
是該離開的時候了。,僕は注意深い。
耶穌愛你。,確かだよ。
保持微笑。,そのことを確信している。
繼續工作！,俺は気が小さい。
不用找零钱了。,僕は意気地なしだ。
"很大, 不是嗎?",私は好奇心旺盛なのです。
檸檬是酸的。,ワクワクするなあ。
讓我一個人去。,断食中です。
讓我看看。,目が回るほど忙しいよ。
讓他們決定。,私は体は健康です。
讓我們吃壽司吧。,私は服役中だ。
讓我們坐公共汽車去。,私はついている。
我們別吵了。,羨ましいなあ。
我们掉头吧！,冗談だよ。
看天上。,それじゃお先に失礼します。
瞧你身後。,今から行くよ。
把它弄小一點。,私は結婚しています。
我现在能走了吗？,僕は馬鹿なんかじゃないぞ。
我能试一下吗？,私は英雄などではない。
也许下一次吧。,私、嘘つきじゃないもん。
男人应该工作。,私はトムじゃない。
聖誕快樂。,悲しくなんかない。
妈妈，我肚子饿了。,私は内気ではない。
我爸爸走路。,僕は我慢強いたちだ。
我家很大。,私って自己中だな。
永远不要说永远。,本気だよ。
没有人迟到。,もう満腹です。
不，我沒去。,お腹がぺこぺこです。
把瓶子打开。,おなかがすいて死にそうだ。
把嘴张开！,ものすごくお腹がすいている。
請安靜。,超腹減った。
请继续。,めっちゃお腹すいた。
請坐下。,お腹がいっぱいです。
戴上你的帽子。,私がここの最高責任者です。
對毒品說不。,俺がルールブックだ。
嚇人，不是麼？,喉が渇いた。
我们7点左右碰头。,のどが渇いた。
今晚見。,喉がかわいた。
她冷靜下來。,のど渇いた。
她消失了。,閉じ込められてしまった。
她举止优雅。,ついてないや。
她轉移了視線。,俺って役立たずだな。
她看起来很年轻。,心配だわ。
她弄丟了一本書。,トムは戻っていますか？
她嫁给了他。,トムは忙しいでしょうか？
她把他叫醒了。,トムってカッコいい？
她努力地工作。,トムってかわいい？
她是我的姊妹。,トムおわた？
她在节食。,トムっていいヤツ？
春天到了。,トムはここにいますか？
這隻狗很大。,トムってバカ？
感觉良好。,トムは無事だろうか。
這不公平。,トムは正気なんだろうか。
那不好聞。,トムは病気なの？
那是不公平的。,トムは元気してる？
那太简单了。,彼は正しいですか。
那是很大的。,これ、トムのですか？
他是个好孩子。,これってきれいかな？
叶子落了。,分かりますか？
灯亮着。,これって汚いかな？
出租车到了。,霧が出ていますか？
不急。,霧は出ていますか？
没有盐。,それって合法的なんだろうか？
他们都做了。,それ、あなたの？
它们是瓜。,あれはトムかな？
他們賣糖果。,話はそれだけ？
这本书是新的。,それで全部？
这是我的自行车。,そんなのありえないよ。
这是我的书。,それは30ドルする。
这是我的妻子。,私のおごりだ。
這是結束。,それは僕のおごりだ。
這個太大了。,今日は私が。
这是典型的。,雨が降るかもしれない。
这不好。,雪が降るかもしれません。
这不是爱。,寒かった。
吃饭时间到了。,冷たかった。
湯姆也說話了。,暗かった。
汤姆什么都没做。,簡単だった。
汤姆不见了。,そうなる運命だったんだよ。
汤姆睡着了。,５０円です。
汤姆觉得饿了。,月曜日です。
汤姆没有时间。,今日は月曜ですね。
汤姆拥抱了玛丽。,よし、それで手を打とう。
汤姆是种族主义者。,それは贋物よ。
湯姆在逃跑。,冗談ですよ。
汤姆在笑。,冗談だよ。
汤姆在游泳。,それは壊れている。
湯姆沒有說謊。,曇っています。
汤姆住在这里。,皮肉だな。
汤姆看来难缠。,鍵がかかっている。
湯姆留在家裡。,それが仕事です。
汤姆是个护士。,それは私の仕事です。
汤姆在家的。,そんなものだよ。
汤姆被欺负了。,それは秘密です。
汤姆挺受欢迎。,随分と大きいな。
汤姆在啜泣。,至急お願いします。
湯姆浪費時間。,緊急です。
湯姆戴假髮。,飛び越えろ！
湯姆出國了。,とにかく起きろ。
关闭电视机,まあ試してごらんよ。
走路小心。,トムにやらせてあげて。
小心脚下。,手伝わせて。
我們逃不出去。,私に知らせて。
我们没时间。,ご一報ください。
我們想知道。,さぁ始めましょう。
我们是朋友。,さあ、始めましょう。
我们很担心。,始めましょう。
我們是加拿大人。,さあ踊ろう。
我们必须走了。,さあ飲もうじゃないか。
我們失去他們了。,急ぎましょう。
太惊喜了!,さあ、みんなで盛り上がろう！
汤姆能做什么？,リラックスしよう。
他说了什么？,さぁ始めましょう。
我們要什麼？,始めましょう。
少了什么？,始めましょう。
几点了？,人生は楽しい。
現在幾點？,トムを見てごらん。
幾點了？,彼を見て。
怎么了？,よく見て。
你怎么了？,願い事をして。
我們什麼時候可以吃？,本当にありがとう。
馬尼拉在哪裡？,始めていい？
我父亲在哪里？,煙草を吸ってもいいですか？
我的妻子在哪裡？,金がものを言う。
那男人是谁？,誰も来なかった。
这个男孩是谁？,誰も死ななかった。
谁喜欢豆子？,誰も来なかった。
誰在玩？,誰も死ななかった。
我們為甚麼失敗了？,誰も知らなかった。
你为什么哭？,さあ家に帰りなさい。
你為什麼哭？,さあ、進んで、進んで。
为什么现在做那个？,じゃあ今度はあなたがやってみて。
狼嚇到了我。,一つは青。
你可以進來。,日にちを選んで。
你能告诉我们。,来て下さい。
你看上去很傻。,お待ちください。
你必须选择。,私のために祈ってて。
你最好走。,元の場所に戻して。
你会迷路的。,トムを釈放しなさい。
你是人。,彼を釈放して。
你真是太對了。,何も言うな。
你真壞。,落ち着いて！
你很害羞。,彼女は彼に噛みついた。
你们被骗了。,彼女は彼を噛んだ。
您被骗了。,彼女は彼をぶった。
你的時間到了。,彼女は親切だ。
“看啊！” 她说道。,彼女はやさしい。
事故發生。,この子は犬よ。
接电话。,あの女は不細工だ。
你是日本人嗎？,あの女は実にセクシーだ。
你是医生吗？,私は行くべきでしょうか。
你是个术士吗？,どうやってやるのか教えて。
現在你們忙嗎？,動かないで！
現在您忙嗎？,じっとして！
你结束了吗？,寝てなさい。
你們是學生嗎？,泣くのはよせよ。
你們學習嗎？,休息しろ。
你不快樂嗎?,トムに「ダメ」と伝えて。
问他一下他的名字。,そういうことだったのか！
最终，他来了。,うまくいった。
我能休息一会儿吗？,それはいいね。
我能在這裡睡覺嗎？,無料です。
有人会开车吗？,彼らは電話した。
这个能吃吗？,彼らは踊った。
你能救汤姆吗？,彼らは笑った。
闭上你的嘴。,彼らは待った。
现在就跟我来。,彼らは歩いた。
你试过吗？,彼らは叫んだ。
你见过汤姆了吗？,トムは赤くなった。
你可以隨心所欲。,トムは拍手した。
你有电视吗？,トムは逃げた。
你們有小孩嗎?,トムは気を失った。
你喜欢雪吗？,トムは眉をひそめた。
你住這裡嗎?,トムは太った。
你需要幫助嗎？,トムは怒った。
你拥有枪支吗？,トムは腹を立てた。
你相信她嗎?,トムは楽しんだ。
你想要更多嗎？,トムは勝った。
你們要米飯嗎？,トムは格好いい。
別開玩笑了。,トムは死んだ。
您不必感谢我。,トムは足が速い。
喝這果汁。,トムは親切だ。
每個人都在笑。,トムが遅刻している。
每個人都看見了。,トムは怠け者。
所有人都注意到了。,トムは貧しい。
像男人一样战斗！,トムは足が遅い。
為了什麼目的？,トムは弱い。
上马。,トムは元気。
給湯姆一把椅子。,トムはひざまずいた。
給我這本書。,トムは笑った。
把书给我。,トムに振られちゃった。
直接回家。,トムは聞く。
上楼。,トムは気が付いた。
你想走的时候就走吧。,トムは前払いした。
他触犯了法律。,トムは断った。
他能讀得很好。,トムはリラックスした。
他着凉了。,トムは引退した。
他感冒了。,トムはやあと言った。
他最近去世了。,トムは大声で叫んだ。
他有長頭髮。,トムはくしゃみをした。
他聽到了叫聲。,トムはやめた。
他是一个高大的男孩。,トムは教える。
他是義大利人。,トムは死にかけている。
他有麻烦。,トムは幸せだ。
他不是傻子。,トムは嘘をついている。
他还在这儿。,トムのほうが年上です。
他非常生气。,トムの言うとおりだ。
他很勇敢。,トムは頭がいい。
他不在家。,トムは頭が良い。
他刚回到家。,あれ着てみて。
他喜歡釣魚。,あれを試着してごらん。
他喜欢打猎。,これ着てみて。
他喜欢橙子。,これを試着してごらん。
他酷爱钓鱼。,振り向いて。
他一定很愛你。,それ消して。
他畫了一隻狗。,トムを起こしてきて。
他打了网球。,私たちは男です。
他關上了門。,僕らはこれをやった。
他對我們說了一個謊。,私たちは幸福です。
他戴眼鏡。,残念だ！
他破产了。,かわいそうに！
他写阿拉伯文。,残念！
他在她的旁邊。,何ですか。
他刚来这镇上。,それは何ですか。
他是你的朋友。,あれは何ですか。
这是账单。,それ何？
你的袋子在這裡。,何ですか。
你好嗎，湯姆？,これ何？
湯姆怎麼知道？,トムはどこ？
我怎样报名参加呢？,次は誰。
你太太怎么样？,そこにいるのは誰だ。
這有多長？,それ、誰の？
這是多少？,どうしてでしょう。
你多高？,木が浮く。
你多高?,はい知っています。
食物怎麼樣？,君が行くのだ。
你們好嗎？,馬鹿だな、おまえ！
我同意他。,馬鹿だな、おまえら！
我差點被淹死。,お前ってひでえ野郎だ。
我總是在外面吃飯。,年相応にふるまえ。
我有點醉了。,あたりは静かだ。
我在吃米饭。,私、正しい？
我不是巫婆。,誰かケガした？
我不好奇。,誰か怪我した？
我是你爸爸。,何かあった？
我相信你。,暇ですか？
我打賭湯姆忘了。,いる?
我買了一只手錶。,君は家にいますか。
我聽不到你的聲音。,道に迷ったんですか。
遇不到你。,大丈夫ですか？
我搆不到它。,本当？
我記不得了。,本気？
我想不起來。,元気？
我不能忍受。,冷徹であれ！
我收集郵票。,牛肉にしてください。
我能看見。,ビーフをお願いします。
我無法入睡。,卵を一つ茹でてよ。
我睡不著。,来られますか。
我没有喜欢过。,君は泳げますか。
我不是这个意思。,泳げますか。
我没见到他。,あなたは泳ぐ事が出来ますか。
我真的原谅汤姆。,歩ける？
我没有疑问。,見に来て。
我不認識她。,いつでも来て。
我不喜歡她。,すぐに来て下さい。
我不喜欢喝茶。,助けに来てください。
我不喜欢你。,早く来い。
我不記得了。,早く来なさい。
我不想要你。,早く来なさい。
我覺得我病得很厲害。,早くおいで。
我过了难挨的一天。,私といっしょに来なさい。
我讨厌化学。,私と来て。
我有条大狗。,私について来て。
我有辆新车。,さあ、一緒に来いよ。
我問過他。,いっしょに来なさい。
我没有借口。,私達と一緒に来なさい。
我必须拒绝。,いいかげんにして。
我希望湯姆輸。,トムから電話があった？
我知道它有困難。,おかしくない？
我知道真相。,変じゃない？
我喜歡巧克力。,月曜日にしなさい。
我喜歡流行音樂。,月曜日にして。
我喜歡紅色的玫瑰。,お酒は飲みますか。
我喜歡旅行。,お酒は飲まれますか？
我喜歡旅行。,あなたは酒を飲みますか？
我喜欢你们的城市。,煙草を吸いますか。
我喜欢你的房间。,たばこは吸いますか。
我住在這附近。,俺に聞くなよ。
我爱这首歌。,怒るなよ。
我犯了一個錯。,怒らないで。
我讓她生氣。,悲しまないで下さい。
我自己做的。,人をからかわないで。
我非常想你。,うつむかないで。
我需要更多时间。,気をつけて運転してください。
我在一個樂團裡演奏。,安全運転してください。
我仍然爱着她。,安全運転してくださいね。
我依旧爱着他。,安全運転してね。
我試著微笑。,安全運転しなさい。
我也要牛肉。,安全運転でお願いします。
我要多很多。,ゆっくり運転しなさい。
我要你去。,幽霊は存在する。
我要你的愛。,それ取って。
我沒有在吼。,時間をください。
我写了一封信。,こんばんは。
我不会做任何事。,良かったですね。
我會在這裡把它吃了。,まあ一杯飲んで。
我會游泳。,彼は居眠りをした。
我今晚有空。,彼は腹をたてた。
我只是隨便看看。,彼は腹を立てた。
我不是乞丐。,彼は怒った。
我不是醫生。,彼は車を持っている。
我現在不忙。,彼は犬を飼っている。
我没那么勇敢。,彼は彼女を手伝います。
我不是老闆。,彼は詩人だ。
我站在你这边。,彼は眠っている。
我以你為榮。,彼は外出しています。
我累死了。,彼はそれを蹴飛ばした。
我在家裡待著。,彼は家をでた。
我还很困。,彼は面目を失った。
我很渴。,彼は彼女に恋している。
我弄丟了我的筆。,彼は彼女が好きだ。
如果不是现在，那是什么时候？,彼は速く走る。
她是正确的吗？,彼は走るのが速い。
那是你的車嗎?,彼は病気らしい。
門開著嗎？,彼は病気のようだ。
工作困難嗎？,彼は成功した。
這是你的車嗎?,彼は一人ぼっちだった。
這是你的筆嗎？,彼は勇敢だった。
开始下雪了。,彼は運が良かった。
開始下雪了。,彼は来るだろう。
那不可能是真的。,彼は歩くつもりだ。
它是一個晴朗的日子。,彼は今いません。
这是一笔不错的交易。,おい、待てよ！
这是个好主意。,ちょっと、待ってよ！
那是一朵向日葵。,学校はどう？
真的很冰冷。,どう、学校は？
難講喔。,学校はどうですか？
只是感冒而已。,どうですか、学校は？
这没什么大不了的。,私は中国人です。
這不是手錶。,私は看護師です。
它在沙發上。,私は女だ。
還早呢。,私は女性です。
吃晚飯的時間到了。,私は好奇心旺盛なのです。
它很正常。,仕事中です。
这很简单。,謝った。
日本在亚洲。,私はキャビアを食べた。
别让狗进来。,私はトムに電話した。
来商量吧。,彼に電話した。
讓我們放風箏。,私は泳げません。
我們進屋吧。,私は話すことができない。
讓我們搭公車吧。,見たよ。
我们试试。,ちっとも構いませんよ。
仔细听着。,気にしていないよ。
聽我說，好嗎？,知らない。
把这封信寄了。,知りません。
做出您的選擇。,俺は知らないよ。
火星是一顆行星。,わかりません。
我们能在这里游泳吗？,私は構いませんよ。
我的相簿在這裡。,私は牛乳を飲みました。
我的猫看上去很悲伤。,楽しかった。
我家在這裡。,生きていることを実感する。
我胃痛。,気持ちが悪い。
很高興認識你。,最悪の気分！
没有人喜欢战争。,めまいがします。
没人会讲。,なんとなく変な気分。
一分耕耘，一分收穫。,絶好調です！
沒人知道為什麼。,元気です。
没有人喜欢战争。,私は幸福です。
什麼事都沒有發生。,私は幸せだ。
请给我盐。,私は幸せに感じる。
麻煩拷貝這個。,疲れたー。
請不要問。,捕まりました。
請讓我走。,私はいぶかしく思った。
請允許我去。,私は疑いを持った。
把箱子放下。,私は疑問を抱いた。
她开始哭泣。,私は疑問を感じた。
她看不起他。,私は疑問を持った。
她不喜歡他。,私は疑問に思った。
她是女教师。,私は疑念を抱いた。
她跟我生气了。,嘘つきは嫌いです。
她在节食。,私は犬を飼っている。
她不停地工作。,息子が一人います。
她穿上袜子。,予定があるんだ。
她停下來抽煙。,行かなくちゃ。
她晉升了。,行かないと。
有人說謊。,そろそろおいとましなければなりません。
對不起我來晚了。,私には双子の子供がいる。
夏天已經結束。,音楽が聞こえる。
游泳很容易。,彼女を抱きしめた。
跟我讲讲那件事。,私は引っ越してきたばかりです。
那是一支铅笔。,私は犬を一匹飼ってます。
那是有道理的。,私はチェスが好きです。
那不好。,僕は女の子が好きです。
那是可避免的。,私は音楽が好きです。
那是我們的房子。,寿司が好きです。
这正是问题的关键。,私は旅行が好きです。
那太稀少了。,旅行が好きです。
盒子裡面沒有東西。,さみしかったよ。
汽车准备好了。,勉強しなくっちゃ。
谢幕了。,タクシーをつかまえないと。
這隻狗快要死了。,仕事が必要だ。
火熄灭了。,少し眠らないと。
那人沒穿衣服。,ぼくはお金がいる。
天空很晴朗。,睡眠をとったほうがよさそうだ。
风暴减弱了。,行かなくちゃ。
這口井乾涸了。,私は気を失いました。
有風險。,彼に電話した。
毫无疑问。,私はピアノを弾きます。
没有糖。,読書家のほうです。
沒有水。,そう思いますよ。
他們沒死。,私ってお喋りなの。
他们喜欢苹果。,敢えてやってみた。
他们害怕了。,敢えて危ない橋を渡ることにした。
他們要殺你。,頑張ってはみたんだ。
他们是孩子。,了解しました。
她们是孩子。,分かってるよ。
这本书是新的。,分かってる。
这个男孩子很懒。,分かった！
这是839号房间。,なるほど。
這是一支鉛筆。,わかったぞ！
這個不行。,わかります。
这不安全。,分かる。
这是最好的。,分かりました。
这是你的狗。,了解です。
這是您的鑰匙。,仕事が欲しい。
这不是钱。,たくさん欲しい。
這個是你的。,事実が知りたい。
今天三號。,お金が欲しい。
湯姆買了輛車。,これが欲しい。
Tom可以跑得很快。,だから言ったでしょ。
湯姆不能開車。,おなかが空いた。
汤姆又做了一次。,意気地がなかったんだ。
Tom喝果汁。,負けない！
汤姆瞥了一眼就移开目光了。,誰かしら。
Tom沒有錢。,なぜなんだろう。
湯姆擊出三壘安打。,トムに訊いてみようっと。
湯姆弄傷了自己。,トムに聞いてみます。
湯姆是個胖子,トムにお願いしようかな。
湯姆是個學生。,トムに頼むことにします。
湯姆是藝術家。,私からトムにお願いしておきます。
汤姆是个骗子。,また戻ってきます。
湯姆有危險。,また来ます。
湯姆是我的朋友。,大丈夫です。
汤姆人很好。,ここにいるよ。
汤姆不是傻瓜。,遅れます。
湯姆不是英雄。,遅刻します。
汤姆喜欢热的。,遅くなります。
湯姆丟了工作。,僕がやります。
湯姆看了文件。,僕がやります。
汤姆努力学习。,訴えてやる！
汤姆走得很慢。,これ、買います。
湯姆會做。,私は医者です。
湯姆會接受。,私は医師です。
再試一次。,私は今忙しい。
把煤气关了！,今は忙しい。
向左转。,今、忙しいの。
在我前面走。,今、手がはなせません。
我們接受支票。,ちょうど今は忙しい。
我们可全指望你了。,私は十八歳です。
我们可全靠你了。,おなかがすいて死にそうだ。
我们打算赢。,ものすごくお腹がすいている。
我們有兩隻耳朵。,超腹減った。
我們幫助窮人。,お腹すいて死にそう。
我們才剛搬進來。,もう大丈夫です。
我們住在一起。,私は今暇です。
我们比赛输了。,二日酔いだ。
我們可能需要一些。,僕はパースにいます。
我們需要湯姆回來。,私は無実だ。
我们必须走了。,俺は無実だ！
我們從不放棄。,妊娠しています。
我们谈谈比较好。,本当にごめんなさい。
后会有期。,お気の毒に。
我們會保持安靜。,おなか空いた！
我们过一会再谈。,おなかがすいて死にそうだ。
我們都餓了。,ものすごくお腹がすいている。
我们是同学。,超腹減った。
我们在高兴地玩。,お腹すいて死にそう。
我們很匆忙。,おなかがすいて死にそうだ。
我們很急。,ものすごくお腹がすいている。
我們不傻。,超腹減った。
多好的主意啊！,めっちゃお腹すいた。
她说了什么？,お腹すいて死にそう。
她說了什麼?,僕はすごく太ってる。
你買了什麼？,疲れたなあ。
您有什么？,もうくたくただよ。
你知道什么？,くたくたに疲れた。
